userno,University,borrowingcredit,loancredit,age,totalbidnumber,baddebts_percent,weightedbidrate_percent,gender,edu_level,CURRENTIDENTITY,user_invest_count,PROJECTNO,REPAYMENT,total,apr_percent,bidders,term,level,project_invest_count,reward
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,25481919,0,1000,0.12,0,12,1,185,1
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,27681449,2,6000,0.11,0,6,7,17,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,31585977,1,2000,0.18,0,9,5,8,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,25325503,0,1000,0.12,0,12,4,53,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,13346795,0,1000,0.12,0,12,2,140,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,32287852,0,3000,0.07,12,1,8,22,1
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,28459146,1,20000,0.13,22,18,7,3,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,29640304,1,1660,0.2,15,6,4,12,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,25580999,0,5500,0.2,57,12,4,8,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,26956744,1,1000,0.12,0,12,1,69,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,16567929,0,1000,0.12,0,12,6,144,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,26778686,0,1000,0.12,0,12,5,47,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,10577160,0,10000,0.17,45,12,6,13,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,15438671,0,1000,0.12,0,12,3,58,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,12242192,0,5500,0.18,29,6,5,12,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,12024167,0,3500,0.09,1,6,7,30,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,41718571,1,7000,0.12,1,12,7,25,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,40102568,0,4500,0.12,27,12,7,37,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,40679410,0,1000,0.18,15,6,5,21,0
1,0,34,11806,38,728,0.0065,0.1097,0,0,1,3,26983015,0,500,0.11,1,6,7,50,0
